Date,GLD,GLD % Change,VNQ,VNQ % Change,USO,USO % Change,KO,KO % Change,TSLA,TSLA % Change,AAPL,AAPL % Change,AGG,AGG % Change,JNK,JNK % Change,50 MA,200 MA,Min Vol % Change By Weights,1 YR,5 YR,30 YR,Signal
2020-05-15 04:00:00+00:00,163.93,0.007621857520437647,68.8,-0.05585288870591476,22.4,-0.07856849033319624,43.26,-0.038025350233488964,799.17,-0.01777220603960039,307.691,-0.02307912115824229,117.03,0.0014547321581379613,97.13,-0.016703786191536785,-0.010190097454205628,1.2934916516625636,1.2272796493716305,0.16,0.36,1.43,0.0
2020-05-14 04:00:00+00:00,162.93,-0.006100164704447075,69.07,0.003924418604651203,21.49,-0.04062500000000002,43.7,0.010171058714748105,803.33,0.005205400603125909,309.54,0.0060092755394212105,116.96,-0.0005981372297702015,97.08,-0.0005147740142077417,0.000667591906615005,1.290996305466572,1.2277233159798968,0.15,0.33,1.39,1.0
2020-05-13 04:00:00+00:00,161.58,-0.00828576689375804,68.83,-0.0034747357753003305,20.58,-0.04234527687296419,43.94,0.005491990846681727,790.96,-0.01539840414275584,307.65,-0.006105834464043558,116.6,-0.0030779753761970285,97.35,0.0027812113720642184,-0.001946236343122505,1.2886803010809735,1.2281513992840185,0.15,0.29,1.31,0.0
2020-05-12 04:00:00+00:00,160.04,-0.009530882534967366,70.54,0.024843818102571635,20.97,0.01895043731778423,44.82,0.020027309968138507,809.41,0.023326084757762544,311.41,0.0122216804810662,116.41,-0.0016295025728987333,97.93,0.005957883923985774,0.003812470634274754,1.2864619392159833,1.2286433787760624,0.16,0.37,1.41,1.0
2020-05-11 04:00:00+00:00,159.62,-0.002624343914021443,73.9,0.047632548908420835,21.17,0.009537434430138436,45.54,0.016064257028112428,811.29,0.002322679482586132,315.01,0.011560322404546852,116.1,-0.002663001460355696,97.98,0.0005105687736137732,0.0024188631557419704,1.28426243204852,1.2290988657955815,0.16,0.36,1.32,1.0
2020-05-08 04:00:00+00:00,160.42,0.005011903270266682,75.01,0.01502029769959412,21.47,0.014170996693434024,46.11,0.012516469038208244,819.42,0.010021077543171941,310.13,-0.015491571696136575,116.46,0.0031007751937983663,98.4,0.004286589099816274,0.005774411888080944,1.282485460507517,1.2295020315800373,0.16,0.36,1.29,1.0
2020-05-07 04:00:00+00:00,161.39,0.006046627602543264,73.25,-0.02346353819490743,20.46,-0.047042384722869035,44.6,-0.032747777054868754,780.04,-0.04805838275853658,303.74,-0.020604262728533107,116.77,0.002661858148720553,97.45,-0.009654471544715437,-0.008758535352294074,1.2806586405705358,1.2298668458496622,0.17,0.36,1.27,0.0
2020-05-06 04:00:00+00:00,158.95,-0.015118656670177866,72.21,-0.014197952218430121,20.85,0.019061583577712593,44.75,0.0033632286995515237,782.58,0.0032562432695759647,300.63,-0.01023902021465728,116.41,-0.003082983643059034,97.2,-0.002565418163160582,-0.004321739867062708,1.2788137411443745,1.2301986816572879,0.16,0.36,1.28,0.0
2020-05-05 04:00:00+00:00,161.02,0.013022963195973736,73.54,0.018418501592577297,21.63,0.037410071942445944,45.4,0.01452513966480451,768.21,-0.018362339952464946,297.56,-0.01021188836776099,116.88,0.004037453826990722,97.59,0.00401234567901243,0.007184084289604884,1.2773016375844068,1.2305725357933799,0.18,0.36,1.24,1.0
2020-05-04 04:00:00+00:00,160.34,-0.004223077878524495,73.18,-0.004895295077508854,19.67,-0.09061488673139151,45.14,-0.005726872246695991,761.19,-0.009138126293591564,293.16,-0.014786933727651497,116.97,0.0007700205338809774,96.82,-0.007890152679577933,-0.004119815787446222,1.27557042107067,1.2309036992471085,0.16,0.37,1.2,0.0
2020-05-01 04:00:00+00:00,159.78,-0.003492578271173774,73.5,0.004372779447936459,18.72,-0.04829689883070676,45.6,0.010190518387239722,701.32,-0.07865316149712953,289.07,-0.013951425842543386,116.87,-0.0008549200649738964,96.96,0.001445982235075416,-0.0021675944786803255,1.273910719414711,1.2312297931975964,0.17,0.41,1.25,0.0
2020-04-30 04:00:00+00:00,158.8,-0.006133433471022576,76.11,0.035510204081632635,19.17,0.024038461538461675,45.89,0.006359649122807065,781.88,0.11486910397536065,293.949,0.016878264780157082,117.1,0.0019679986309573128,99.03,0.02134900990099009,0.00990648189772523,1.27268127778878,1.2316012057448744,0.18,0.36,1.17,1.0
