Date,GLD,GLD % Change,VNQ,VNQ % Change,USO,USO % Change,KO,KO % Change,TSLA,TSLA % Change,AAPL,AAPL % Change,AGG,AGG % Change,JNK,JNK % Change,50 MA,200 MA,Max Sharpe % Change By Weights,Recommendation,1 YR,5 YR,30 YR,Signal
2023-08-18 04:00:00+00:00,175.33,-0.0002373594462967114,80.44,8.693125629784911e-05,72.79,0.00010507669393284545,60.95,-0.00010891786990671827,215.49,0.002195782927963299,174.49,0.0007662508860398615,95.62,7.1669367825952e-05,90.84,0.00010442503032007705,0.0,1.6004374881171721,1.6336537341420438,0.0,5.35,4.38,4.38,0.0
2023-08-17 04:00:00+00:00,175.3,-0.00017110591456115376,80.19,-0.003107906514172032,71.98,-0.01112790218436599,60.61,-0.005578342904019706,219.22,0.01730938790663128,174.0,-0.002808183850077417,95.41,-0.002196193265007418,90.8,-0.00044033465433734875,0.001484498236691805,1.6004374881171721,1.6336537341420438,1.0,5.36,4.42,4.41,1.0
2023-08-16 04:00:00+00:00,175.57,0.0015402167712492698,80.84,0.008105748846489735,71.37,-0.008474576271186418,60.48,-0.002144860584062047,225.6,0.029103184016056938,176.57,0.014770114942528778,95.51,0.00104810816476264,91.23,0.004735682819383413,0.009145599498271966,1.6004374881171721,1.6336537341420438,1.0,5.37,4.42,4.38,1.0
2023-08-15 04:00:00+00:00,176.59,0.00580964857321864,81.85,0.012493814943097314,72.62,0.017514361776656884,60.47,-0.00016534391534384074,232.96,0.03262411347517746,177.45,0.0049838590927111515,95.74,0.002408124803685352,91.47,0.002630713581058819,0.011146534927654762,1.6004374881171721,1.6336537341420438,1.0,5.36,4.36,4.32,1.0
2023-08-14 04:00:00+00:00,177.06,0.00266153236310096,82.78,0.011362248014661125,73.81,0.01638667033874963,60.88,0.006780221597486369,239.76,0.029189560439560447,179.46,0.011327134404057526,96.0,0.0027156883225403217,91.76,0.0031704383951023374,0.012008056355736813,1.6004374881171721,1.6336537341420438,1.0,5.37,4.36,4.29,1.0
2023-08-11 04:00:00+00:00,177.6,0.0030498136225007855,83.33,0.006644116936457944,74.25,0.005961251862891093,61.17,0.004763469119579478,242.65,0.012053720387053879,177.79,-0.009305694862364988,96.07,0.0007291666666666696,91.75,-0.00010897994768965802,0.0029591100392556443,1.6004374881171721,1.6336537341420438,1.0,5.36,4.31,4.27,1.0
2023-08-10 04:00:00+00:00,177.6,0.0,83.2,-0.0015600624024960652,74.2,-0.0006734006734006037,60.92,-0.004086970737289475,245.34,0.011085926231197085,177.97,0.0010124303954104352,96.37,0.003122723014468809,91.88,0.0014168937329699371,0.0022191211805503565,1.6004374881171721,1.6336537341420438,1.0,5.33,4.21,4.24,1.0
2023-08-09 04:00:00+00:00,177.79,0.001069819819819795,83.52,0.0038461538461538325,75.1,0.012129380053908179,61.06,0.0022980958634275517,242.19,-0.012839325018341952,178.19,0.0012361633983255516,97.0,0.006537304140292521,91.93,0.0005441880713976666,-0.0007033591406795706,1.6004374881171721,1.6336537341420438,0.0,5.35,4.12,4.18,0.0
2023-08-08 04:00:00+00:00,178.64,0.004780921311659858,83.53,0.00011973180076640944,74.06,-0.013848202396804177,60.92,-0.0022928267278087278,249.7,0.03100871216813239,179.8,0.009035299399517527,96.93,-0.0007216494845360133,91.92,-0.00010877841836187674,0.008718385583531205,1.6004374881171721,1.6336537341420438,1.0,5.35,4.1,4.2,1.0
2023-08-07 04:00:00+00:00,179.78,0.006381549484997917,84.07,0.00646474320603363,73.82,-0.003240615716986306,61.19,0.0044320420223242785,251.45,0.007008410092110617,178.85,-0.005283648498331628,96.7,-0.0023728463839884917,91.76,-0.0017406440382941035,0.002549702485188478,1.6004374881171721,1.6336537341420438,1.0,5.3,4.16,4.27,1.0
2023-08-04 04:00:00+00:00,180.19,0.002280565135165169,83.03,-0.012370643511359525,73.79,-0.0004063939311838016,60.71,-0.007844419022716043,253.85,0.009544641081725924,181.99,0.017556611685770385,96.68,-0.00020682523267834263,91.57,-0.0020706190061030583,0.004726555701432083,1.6004374881171721,1.6336537341420438,1.0,5.33,4.15,4.21,1.0
2023-08-03 04:00:00+00:00,179.54,-0.003607303401964579,83.71,0.008189810911718665,73.14,-0.008808781677734134,61.64,0.01531872838082693,259.32,0.021548158361236913,191.17,0.05044233199626347,95.89,-0.0081712867190733,91.04,-0.005787921808452445,0.015441083101053252,1.6004374881171721,1.6336537341420438,1.0,5.37,4.3,4.32,1.0
2023-08-02 04:00:00+00:00,179.6,0.0003341873677176199,84.63,0.010990323736710161,71.48,-0.02269619907027609,61.96,0.005191434133679396,254.11,-0.02009100724973001,192.58,0.007375634252236418,96.54,0.006778600479716346,91.35,0.003405096660808349,-0.002895202205095337,1.6004374881171721,1.6336537341420438,0.0,5.36,4.24,4.17,0.0
2023-08-01 04:00:00+00:00,180.46,0.004788418708240538,85.12,0.005789909015715633,72.96,0.020705092333519692,61.77,-0.00306649451258878,261.07,0.027389713116366954,195.605,0.01570775781493383,96.77,0.0023824321524754666,91.71,0.003940886699507429,0.011472461912812558,1.6004374881171721,1.6336537341420438,1.0,5.38,4.24,4.11,1.0
2023-07-31 04:00:00+00:00,182.35,0.010473235065942443,85.26,0.00164473684210531,73.17,0.0028782894736842923,61.93,0.002590254168690187,267.43,0.024361282414678165,196.45,0.004319930472124867,97.68,0.00940374082876927,92.75,0.011340093773852367,0.01044907433054762,1.6004374881171721,1.6336537341420438,1.0,5.37,4.18,4.02,1.0
